Country,Region,Urban,Origin,Year1,Year2,Age,AgeInt,AgeDef,Vitality,   ASFR,   CPFR,Collection,SourceType,   RefCode,Note,Split
    NOR,     .,    .,     ., 1946, 1946, 14,   -99,   ACY,       1,0.00002,0.00000,       ODE,  estimate,    NOR_01,   .,    2
    NOR,     .,    .,     ., 1946, 1946, 15,     1,   ACY,       1,0.00031,0.00002,       ODE,  estimate,    NOR_01,   .,    2
    NOR,     .,    .,     ., 1946, 1946, 16,     1,   ACY,       1,0.00441,0.00033,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 17,     1,   ACY,       1,0.01449,0.00474,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 18,     1,   ACY,       1,0.02983,0.01923,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 19,     1,   ACY,       1,0.04816,0.04906,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 20,     1,   ACY,       1,0.06700,0.09722,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 21,     1,   ACY,       1,0.08512,0.16422,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 22,     1,   ACY,       1,0.10212,0.24934,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 23,     1,   ACY,       1,0.11764,0.35146,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 24,     1,   ACY,       1,0.13204,0.46910,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 25,     1,   ACY,       1,0.14316,0.60114,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 26,     1,   ACY,       1,0.14977,0.74430,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 27,     1,   ACY,       1,0.15467,0.89407,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 28,     1,   ACY,       1,0.15992,1.04874,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 29,     1,   ACY,       1,0.16241,1.20866,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 30,     1,   ACY,       1,0.15867,1.37107,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 31,     1,   ACY,       1,0.15135,1.52974,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 32,     1,   ACY,       1,0.14417,1.68109,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 33,     1,   ACY,       1,0.13808,1.82526,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 34,     1,   ACY,       1,0.13075,1.96334,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 35,     1,   ACY,       1,0.12122,2.09409,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 36,     1,   ACY,       1,0.11022,2.21531,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 37,     1,   ACY,       1,0.09793,2.32553,       ODE,  estimate,    NOR_01,   .,    0
    NOR,     .,    .,     ., 1946, 1946, 38,     1,   ACY,       1,0.08494,2.42346,       ODE,  estimate,    NOR_01,   .,    0
