Norway  Period fertility rates by calendar year and age (1846 - 1967: age reached during the year (ARDY); 1967 - 2022: Lexis squares  age in completed years (ACY))		
1846 - 1967: Data from Burnborg & Mamalund (1994). Kohort og periodefruktbarhet I Norge 1820-1993: Statistics Norway; 1967 - 2022 Human Fertility Database. MPIDR & VID (data downloaded 02.08.2023)		
Year	Age 	ASFR
1845	14-	0
1845	15	0.01351
1845	16	0.01285
1845	17	0.00674
1845	18	0
1845	19	0.00649
1845	20	0.03157
1845	21	0.06494
1845	22	0.10259
1845	23	0.13612
1845	24	0.16334
1845	25	0.183
1845	26	0.19602
1845	27	0.20771
1845	28	0.21887
1845	29	0.22766
1845	30	0.23371
1845	31	0.23706
1845	32	0.23792
1845	33	0.23703
1845	34	0.23451
1845	35	0.23018
1845	36	0.22389
1845	37	0.21522
1845	38	0.20402
1845	39	0.19016
1845	40	0.17342
1845	41	0.15307
1845	42	0.12926
1845	43	0.10341
1845	44	0.07659
1845	45	0.05194
1845	46	0.0308
1845	47	0.0157
1845	48	0.00673
1845	49	0.00196
1845	50+	0
1846	14-	0
1846	15	0.0134
1846	16	0.01277
1846	17	0.00674
1846	18	0
1846	19	0.00652
1846	20	0.03132
1846	21	0.06432
1846	22	0.10157
1846	23	0.13476
1846	24	0.16169
1846	25	0.18117
1846	26	0.19409
1846	27	0.20571
1846	28	0.21682
1846	29	0.22557
1846	30	0.23159
1846	31	0.23492
1846	32	0.23576
1846	33	0.23486
1846	34	0.23235
1846	35	0.22802
1846	36	0.22174
1846	37	0.2131
1846	38	0.20198
1846	39	0.1882
1846	40	0.17159
1846	41	0.15143
1846	42	0.12785
1846	43	0.10229
1846	44	0.07575
1846	45	0.0514
1846	46	0.03051
1846	47	0.01556
1846	48	0.00668
1846	49	0.00196
1846	50+	0
1847	14-	0
1847	15	0.01318
1847	16	0.01253
1847	17	0.00655
1847	18	0
1847	19	0.0063
1847	20	0.03081
1847	21	0.06337
1847	22	0.1001
1847	23	0.13281
1847	24	0.15936
1847	25	0.17858
1847	26	0.19134
1847	27	0.20284
1847	28	0.21383
1847	29	0.2225
1847	30	0.22848
1847	31	0.23179
1847	32	0.23262
1847	33	0.23172
1847	34	0.22923
1847	35	0.22495
1847	36	0.21875
1847	37	0.21023
1847	38	0.19926
1847	39	0.18568
1847	40	0.1693
1847	41	0.14942
1847	42	0.12616
1847	43	0.10093
1847	44	0.07475
1847	45	0.05071
1847	46	0.03008
1847	47	0.01533
1847	48	0.00658
1847	49	0.00192
1847	50+	0
1848	14-	0
1848	15	0.01264
1848	16	0.01202
1848	17	0.00632
1848	18	0
1848	19	0.00625
1848	20	0.02988
1848	21	0.06125
1848	22	0.0966
1848	23	0.12805
1848	24	0.15356
1848	25	0.17195
1848	26	0.18414
1848	27	0.19508
1848	28	0.20554
1848	29	0.2138
1848	30	0.21947
1848	31	0.22261
1848	32	0.22342
1848	33	0.22259
1848	34	0.22024
1848	35	0.21618
1848	36	0.21025
1848	37	0.20209
1848	38	0.19156
1848	39	0.17851
1848	40	0.16276
1848	41	0.14364
1848	42	0.12127
1848	43	0.09701
1848	44	0.07183
1848	45	0.04872
1848	46	0.02889
1848	47	0.01471
1848	48	0.00631
1848	49	0.00184
1848	50+	0
1849	14-	0
1849	15	0.01361
1849	16	0.01293
1849	17	0.00674
1849	18	0
1849	19	0.00642
1849	20	0.03167
1849	21	0.06527
1849	22	0.10321
1849	23	0.13699
1849	24	0.16442
1849	25	0.18424
1849	26	0.19736
1849	27	0.20914
1849	28	0.22037
1849	29	0.22922
1849	30	0.2353
1849	31	0.23867
1849	32	0.23953
1849	33	0.23863
1849	34	0.2361
1849	35	0.23175
1849	36	0.22543
1849	37	0.2167
1849	38	0.20545
1849	39	0.1915
1849	40	0.17467
1849	41	0.15418
1849	42	0.13021
1849	43	0.10418
1849	44	0.07715
1849	45	0.05234
1849	46	0.03104
1849	47	0.01581
1849	48	0.00678
1849	49	0.00197
1849	50+	0
1850	14-	0
