Norway, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))		
Last modified: 		
Year	Age	   ASFR
1946	14	0.00002
1946	15	0.00031
1946	16	0.00441
1946	17	0.01449
1946	18	0.02983
1946	19	0.04816
1946	20	0.06700
1946	21	0.08512
1946	22	0.10212
1946	23	0.11764
1946	24	0.13204
1946	25	0.14316
1946	26	0.14977
1946	27	0.15467
1946	28	0.15992
1946	29	0.16241
1946	30	0.15867
1946	31	0.15135
1946	32	0.14417
1946	33	0.13808
1946	34	0.13075
1946	35	0.12122
1946	36	0.11022
1946	37	0.09793
1946	38	0.08494
1946	39	0.07251
1946	40	0.06024
1946	41	0.04673
1946	42	0.03235
1946	43	0.01991
1946	44	0.01166
1946	45	0.00697
1946	46	0.00369
1946	47	0.00152
1946	48	0.00055
1946	49	0.00022
1946	50	0.00009
1947	14	0.00000
1947	15	0.00005
1947	16	0.00377
1947	17	0.01384
1947	18	0.03126
1947	19	0.05372
1947	20	0.07617
1947	21	0.09430
1947	22	0.10919
1947	23	0.12281
1947	24	0.13394
1947	25	0.14186
1947	26	0.14781
1947	27	0.15206
1947	28	0.15271
1947	29	0.14994
1947	30	0.14489
1947	31	0.13844
1947	32	0.13151
1947	33	0.12544
1947	34	0.11882
1947	35	0.10900
1947	36	0.09759
1947	37	0.08788
1947	38	0.07922
1947	39	0.06809
1947	40	0.05474
1947	41	0.04222
1947	42	0.03186
1947	43	0.02227
1947	44	0.01352
1947	45	0.00721
1947	46	0.00361
1947	47	0.00157
1947	48	0.00057
1947	49	0.00018
1947	50	0.00006
1948	14	0.00005
1948	15	0.00059
1948	16	0.00429
1948	17	0.01448
1948	18	0.03206
1948	19	0.05518
1948	20	0.07915
1948	21	0.09869
1948	22	0.11259
1948	23	0.12417
1948	24	0.13472
1948	25	0.14200
1948	26	0.14543
1948	27	0.14756
1948	28	0.14887
1948	29	0.14637
1948	30	0.13933
1948	31	0.13180
1948	32	0.12517
1948	33	0.11828
1948	34	0.11012
1948	35	0.10097
1948	36	0.09151
1948	37	0.08216
1948	38	0.07325
1948	39	0.06356
1948	40	0.05335
1948	41	0.04250
1948	42	0.03101
1948	43	0.02033
1948	44	0.01239
1948	45	0.00714
1948	46	0.00366
1948	47	0.00157
1948	48	0.00074
1948	49	0.00018
1948	50	0.00005
1949	14	0.00004
1949	15	0.00046
1949	16	0.00422
1949	17	0.01465
1949	18	0.03207
1949	19	0.05418
1949	20	0.07773
1949	21	0.09887
1949	22	0.11437
