Year	Age	mx	qx	ax	lx	dx	Lx	Tx	ex
1	1846	0	0.13021	0.11932	0.3	100000	11932	91637	4644201	46.44
2	1846	1	0.05241	0.05107	0.5	88068	4497	85819	4552564	51.69
3	1846	2	0.02756	0.02718	0.5	83570	2272	82434	4466745	53.45
4	1846	3	0.01928	0.01909	0.5	81298	1552	80522	4384311	53.93
5	1846	4	0.01344	0.01335	0.5	79746	1064	79214	4303788	53.97
6	1846	5	0.00986	0.00981	0.5	78682	772	78296	4224574	53.69
7	1846	6	0.00842	0.00838	0.5	77910	653	77583	4146278	53.22
8	1846	7	0.00697	0.00695	0.5	77257	537	76988	4068695	52.66
9	1846	8	0.00607	0.00605	0.5	76720	464	76488	3991706	52.03
10	1846	9	0.00478	0.00477	0.5	76256	363	76074	3915218	51.34
11	1846	10	0.00376	0.00375	0.5	75893	285	75750	3839144	50.59
12	1846	11	0.0036	0.0036	0.5	75608	272	75472	3763394	49.78
13	1846	12	0.00375	0.00375	0.5	75336	282	75195	3687922	48.95
14	1846	13	0.00366	0.00366	0.5	75054	274	74917	3612727	48.14
15	1846	14	0.00351	0.00351	0.5	74780	262	74648	3537810	47.31
16	1846	15	0.00375	0.00374	0.5	74517	279	74378	3463161	46.47
17	1846	16	0.00429	0.00428	0.5	74239	318	74080	3388784	45.65
18	1846	17	0.00504	0.00503	0.5	73921	372	73735	3314704	44.84
19	1846	18	0.00579	0.00577	0.5	73549	425	73337	3240969	44.07
20	1846	19	0.00687	0.00684	0.5	73125	500	72874	3167632	43.32
21	1846	20	0.00759	0.00756	0.5	72624	549	72350	3094757	42.61
22	1846	21	0.0077	0.00767	0.5	72075	553	71798	3022408	41.93
23	1846	22	0.00777	0.00774	0.5	71522	554	71245	2950610	41.25
24	1846	23	0.00755	0.00752	0.5	70968	534	70701	2879365	40.57
25	1846	24	0.00734	0.00731	0.5	70434	515	70177	2808663	39.88
26	1846	25	0.00743	0.00741	0.5	69919	518	69660	2738487	39.17
27	1846	26	0.00726	0.00723	0.5	69401	502	69150	2668827	38.46
28	1846	27	0.00725	0.00722	0.5	68899	498	68650	2599677	37.73
29	1846	28	0.00694	0.00691	0.5	68402	473	68165	2531026	37
30	1846	29	0.00704	0.00702	0.5	67929	477	67691	2462861	36.26
31	1846	30	0.0076	0.00757	0.5	67452	511	67197	2395170	35.51
32	1846	31	0.00796	0.00793	0.5	66941	531	66676	2327974	34.78
33	1846	32	0.00892	0.00889	0.5	66411	590	66116	2261297	34.05
34	1846	33	0.00829	0.00825	0.5	65821	543	65549	2195182	33.35
35	1846	34	0.00809	0.00806	0.5	65277	526	65014	2129633	32.62
36	1846	35	0.00904	0.009	0.5	64751	583	64460	2064618	31.89
37	1846	36	0.0105	0.01045	0.5	64169	671	63833	2000158	31.17
38	1846	37	0.01023	0.01018	0.5	63498	646	63175	1936325	30.49
39	1846	38	0.00844	0.00841	0.5	62852	529	62588	1873150	29.8
40	1846	39	0.00944	0.00939	0.5	62323	585	62031	1810562	29.05
41	1846	40	0.00974	0.00969	0.5	61738	598	61439	1748532	28.32
42	1846	41	0.01031	0.01025	0.5	61140	627	60826	1687093	27.59
43	1846	42	0.0115	0.01144	0.5	60513	692	60167	1626267	26.87
44	1846	43	0.0119	0.01183	0.5	59821	708	59467	1566100	26.18
45	1846	44	0.01332	0.01324	0.5	59113	782	58722	1506633	25.49
46	1846	45	0.01235	0.01227	0.5	58331	716	57973	1447911	24.82
47	1846	46	0.01226	0.01218	0.5	57615	702	57264	1389938	24.12
48	1846	47	0.01443	0.01432	0.5	56913	815	56505	1332674	23.42
49	1846	48	0.01519	0.01507	0.5	56098	845	55675	1276168	22.75
50	1846	49	0.01749	0.01734	0.5	55253	958	54773	1220493	22.09
51	1846	50	0.01711	0.01696	0.5	54294	921	53834	1165720	21.47
52	1846	51	0.01549	0.01537	0.5	53374	820	52963	1111886	20.83
53	1846	52	0.01664	0.0165	0.5	52553	867	52119	1058922	20.15
54	1846	53	0.01652	0.01638	0.5	51686	847	51262	1006803	19.48
55	1846	54	0.01861	0.01844	0.5	50839	937	50370	955541	18.8
56	1846	55	0.02095	0.02074	0.5	49902	1035	49384	905170	18.14
57	1846	56	0.02226	0.02201	0.5	48867	1076	48329	855786	17.51
58	1846	57	0.02329	0.02302	0.5	47791	1100	47241	807457	16.9
59	1846	58	0.02443	0.02413	0.5	46691	1127	46128	760216	16.28
